      DIRS,      DIRR,      VELS,      VELR,      TEMP,        HR,        PB,      PREC,   RAD-SOL,    TEMPCOMB,     HUMCOMB,     HUMSUBS,    TEMPSUBS
142,140,11.9,18,22.2,22,833.3,0,0,23.7,43,4,21.9
154,156,12.1,18,22.5,21,833.4,0,0,24.7,41,4,21.8
151,139,10.5,19.1,22.9,21,833.5,0,0,25.2,40,4,21.8
158,157,10.5,18.4,23.4,20,833.5,0,0,26,37,3,21.8
150,139,12.5,18.7,24,19,833.5,0,0,25.6,36,4,21.8
148,152,12.9,20.2,24.5,18,833.5,0,0,25.8,36,4,21.9
145,137,13.6,19.4,24.9,19,833.5,0,0,26.4,37,4,21.9
140,140,12.6,19.8,25,20,833.6,0,0,27.5,36,4,21.9
135,117,10,16.9,25.3,21,833.6,0,0,28.8,36,4,21.9
133,131,11.3,17.3,25.3,22,833.6,0,0,29.6,33,4,21.9
142,151,11.1,19.4,25.7,22,833.7,0,0,29.8,33,4,22.1
146,162,12.1,20.2,26.1,22,833.7,0,0,29.5,30,4,22.2
154,137,10.8,17.6,26.2,21,833.7,0,0,30.7,30,4,22.4
152,150,9.8,17.6,26.7,19,833.6,0,0,30.2,27,4,22.4
144,191,6,13.3,27,20,833.6,0,0,29.2,27,4,22.6
120,103,14.8,20.9,27.4,23,833.6,0,0,29.3,27,4,22.8
129,113,12.9,22.3,27.7,20,833.6,0,0,29.5,26,4,22.8
112,101,15.1,24.1,27.7,25,833.6,0,0,29.5,26,4,23
95,98,19.7,29.2,27.1,27,833.6,0,0,29.3,25,4,23.2
106,121,16.9,24.8,27.5,24,833.5,0,0,29.7,26,4,23.4
136,123,12,22.7,28.3,20,833.5,0,0,29.9,26,4,23.6
121,122,16.1,30.6,29.1,22,833.4,0,0,30.4,25,4,23.7
114,115,19.8,30.6,28.8,21,833.3,0,0,30.9,30,4,23.9
106,112,21,31.3,28.4,26,833.3,0,0,33.7,31,4,24.1
101,115,18,28.1,28.3,25,833.2,0,0,35.9,30,4,24.3
99,110,20.5,29.9,28.6,26,833.1,0,0,37,27,4,24.6
135,144,21.4,31.3,29.1,17,833,0,0,37.2,25,4,24.8
124,106,20.8,31,29.4,18,832.9,0,0,38.4,24,4,25
101,102,22.1,32.8,29,23,832.9,0,0,39.1,23,4,25.2
111,106,22.8,35.6,29.1,21,832.7,0,0,39.6,22,4,25.4
122,108,25.6,39.2,29.6,18,832.5,0,0,39.4,20,4,25.6
116,131,24.2,35.3,29.4,20,832.5,0,0,37,20,4,25.9
117,134,23.5,38.2,28.9,22,832.5,0,0,38.3,20,4,26.1
107,107,22,32.8,29.2,22,832.4,0,0,40.1,19,4,26.3
121,124,24.8,36.4,29.4,21,832.3,0,0,39.5,18,4,26.5
123,115,23.7,34.6,29.2,23,832.3,0,0,39.3,18,4,26.7
